project_name,link,description,composants
Tea Dipper,https://www.instructables.com/Tea-Dipper,"Ever had your tea turn out too weak or bitter? With this project, you can create this device to dip your tea for the perfect amount of time. Simply attach a tea bag and place your cup down, and the device comes to live! Dipping your tea perfectly to your liking. ",Materials needed: 4mm thick wood Arduino Uno Servo (I use the SG90) Ultrasonic sensor Cables & ribbon cables for arduino Duct tape Double sided tape Clothespin (or some other small clamp) Cup Machines/Tools needed: 3d printer laser wood cutter Hot glue gun
MechaMaven: the Educational Robot Explorer,https://www.instructables.com/MechaMaven-the-Educational-Robot-Explorer,"Hi everyone! I'm Earl Daniel Villanueva, the founder of Evtech, and for today's project, we're going to build MechaMaven: The Educational Robot Explorer. But hey, you might be wondering, Earl, how can you claim that this is an educational robot? Well, I specifically designed this for educational purposes. It has 10 output pins to connect 10 sensors or an LCD. It also has 2 output pins for the I2C interface. It includes 4 motor drivers to operate 4 motors, with the option to add up to 6 servo motors. Also, it is equipped with a passive buzzer to play music, and much more! This robot can be controlled using a PS3 controller, a mobile phone, and a computer. But for today's video, we are going to focus on controlling this robot using a PS3 controller. VIDEO TUTORIAL: ","Let's start with the things you will need: 4 pcs of DC geared motor, Mecanum left and right wheel pair, 4 pcs of 2-pin female JST connector, 4 pcs of 2-pin male JST connector, 2 pcs of 18650 battery, 1 pc of 18650 battery holder, a male header pin, 1 pc of slide switch, a female header pin, an ESP32 D1 Mini, 2 pcs of 4-pin female JST connector, 2 pcs of 3-pin female JST connector, a PS3 controller, a mini USB, a micro USB, the PCB, a PCB stencil, 8 pcs of 2.7mm x 29mm screws and their nuts, 4 pcs of 1.8mm x 10mm screws and their nuts, a 3D-printed spacer, and the 3D-printed body. Components: 1. DC geared motor - 4 pcs 2. Mecanum left and right wheel pair - 1 pair 3. 2-pin female JST connector - 4 pcs 4. 2-pin male JST connector - 4 pcs 5. 18650 battery - 2 pcs 6. 18650 battery holder - 1 pc 7. Male header pin - 1 pc 8. Slide switch - 1 pc 9. Female header pin - 1 pc 10. ESP32 D1 Mini - 1 pc 11. 4-pin female JST connector - 2 pcs 12. 3-pin female JST connector - 2 pcs 13. PS3 controller - 1 pc 14. Mini USB - 1 pc 15. Micro USB - 1 pc 16. PCB - 1 pc 17. PCB stencil - 1 pc 18. 2.7mm x 29mm screws and their nuts - 8 pcs 19. 1.8mm x 10mm screws and their nuts - 4 pcs 20. 3D-printed spacer - 4 pc 21. 3D-printed body - 1 pc Surface-Mount Device (SMD) Components: 1. L9110S IC - 4 pcs 2. 0.1 µF capacitor - 2 pc 3. 10k resistor - 2 pc 4. 22 µF capacitor - 2 pc 5. 10 µH inductor - 2 pc 6. 26.1k variable resistor - 2 pc 7. MP2307 IC - 2 pc 8. 10k resistor - 2 pc 9. 3.9 nF capacitor - 2 pc 10. 6.8k resistor - 2 pc 11. 0.1 µF capacitor - 2 pc 12. 100k resistor - 2 pc 13. 10 µF capacitor - 4 pc 14. LED indicator light - 1 pc 15. 1k resistor - 1 pc For the hand tools and fabrication machines, you will need a soldering iron, a soldering pump, soldering wire, soldering lead, a hot air SMD rework station, solder paste, tweezers, and a 3D printer to print the body of the robot. Hand Tools and Fabrication Machines: 1. Soldering iron 2. Soldering pump 3. Soldering wire 4. Soldering lead 5. Hot air SMD rework station 6. Solder paste 7. Tweezers 8. Phillips Screwdriver 9. Wire Splicer 10. 3D printer (to print the body of the robot)  If you are interested in the PCB Gerber file. You can find it in the GitHub file package link. You can buy 10 pieces of the board for $5 (be sure to input 10pcs. since 5pcs is set by default). I do appreciate it when you buy from my PCBway link, I use the commission to fund my other projects and tutorials, your support would be much appreciated. GitHub Link:https://github.com/earldanielph/MechaMaven PCBWay Link:"
6 Axis Robotic Arm With Generative Design and Deep Learning,https://www.instructables.com/6-Axis-Robotic-Arm-With-Generative-Design-and-Deep,"Hi, This Instructable is a collaboration between Joseph Maloney, 16 years old, and Krishna Malhotra, 15 Years old. Joseph wrote the generative design section of the Instructable, and designed and built the arm. Krishna wrote the software section of the Instructable, all the code for the arm, and assembled the electronic components and wiring. This Instructable will teach you how to utilize generative design and neural networks to make an optimized robotic arm. Furthermore, it will cover how to develop your own deep learning models and the general and mathematical theory behind the complex neural network algorithms. Generative design is a way of using a computer to optimize 3D models. It can be used to make parts lighter, stiffer, and with less material than previously possible. It works by applying loads to parts and running a simulation. Then, using the results from the simulation the computer iteratively adds or removes material wherever necessary. Constraints such as manufacturability and target weight can be set to achieve the optimal design for your application. In this Instructable you will learn the basic functionality of fusion 360s generative design workspace. These skills can be utilized on almost any design and can help you take your modeling skills to the next level. Furthermore, using an advanced, novel recurrent neural network, a deep learning model implemented from scratch using the TensorFlow library in Python, demonstrated the capability of interpreting audio into text, and listening for key tokens (words). This was then translated onto the robot, enabling a user to simply command the robot to do something and that to be translated on the robust, optimized 6 DOF robotic arm. For instance, one could just say, “Get me that banana.” The audio goes through the recurrent-neural-network, extracts key words and then a predefined movement is activated on the robot. In addition, through a more beginner-friendly design, using the mediapipe deep learning tools and computer vision libraries, the robot is capable of mimicking hand movements done by the user allowing for a user to control the robot simply by using hand gestures. Finally, once again using the beginner-friendly tools, a computer vision model was used to track objects of a specified color and using angular calculations, the robot is able to orient itself towards the object and successfully pick and place it."," The software you will need for this project is, Fusion 360 Ultimaker Cura - or other slicer PyCharm (or other Python IDE) Arduino IDE  The supplies you will need for this project are, 3D Printer (Prusa I3 MK3s+) PLA filament or other stiff filament 6x Servos (LDX-218 & LD-1501MG servos) Arduino UNO Male to Male Jumper Wires 2 18650 Lithium Ion Batteries + Battery Pack with wire connections (+ and -) Code"
Tim's Mechanical Spider Leg [LU9685-20CU],https://www.instructables.com/Tims-Mechanical-Spider-Leg-LU9685-20CU,"The video is a little long 1 hour, I ramble on a bit. Starts with my wood version of the spider leg. I then show a bit on the IDE I use (Visual Studio 2023 Community) for coding with Arduino. I also show different ways of connecting the new LU9685-20CU Servo Controller with my application. This is my design for a Spiders Leg. Well, there's not quite the number of joints a Spider has. I wanted to do something where the servo are hidden from view, to give it a more realistic appearance. In my original I used 3D printed parts for the main parts and plastic straws to give it a retro look. It has all the servo together where the hip joint rotates. Now that I have a laser cutter, I have gone for a wood version. There are 4 servo. One Rotates the Hip. One Rase/Lowers the Hip. One Moves the Knee Joint. One Moves the Ankle Joint. To control the servo I am using the new LU9685-20CU Servo Controller. The LU9685-20CU is like the PCA9685 in function only. At the hart of the LU9685-20CU is a microcontroller from the STC8H family of microcontrollers. You can communicate with an LU9685-20CU via I2C or UART. No special Libraries are required, you just send values. I have made an Application to control the LU9685-20CU similar to the one I made for the PCA9685. This Instructable is a two in one. I'll give instruction to build my Spider Leg (repeat eight times for a spider). I will also explain how to use the new LU9685-20CU.","A Laser Cutter and a 3D Printer is required to make this projects. I have printed the Plastic Parts out of PLA. I useA3 sheets of Plywood. I also used some card for shims. (Old Cornflake packet about 0.5mm thick) FourSG90 Servosare require per leg. I have used cheep plastic geared servo, more expensive ones will be better. 0.8mm diameter (20 AWG) Spring Wire, for connecting links to the horns of the Servo. To control the servos I am using the newLU9685-20CU Servo Module. This is similar to the PCA9685 servo module but it has a Microcontroller at the heart of things. To control the LU9685-20CU Servo Module I have written some Software. Tim's PC Applications: Tim's LU9685-20UC Servo Controller (tims-pc-applications.blogspot.com) AnArduinois required if you want to control the servos via I2C. Using an Arduino and I2C, you can have up to 32 Servo modules connected. To make it easy for connecting I am using an Arduino NANO and a breakout shield. I have my Arduino NANO and Shield mounted to a 3D Printed Mount to hold an I2C Bus and LCD(I2C). You can use aUSB to UARTmodule to control one LU9685-20CU Servo Module direct. Using UART is a one to one connection, so only on LU9685-20CU Servo Module can be controlled via one UART. The UART module could be Bluetooth. I have done an Instructable about Bluetooth. How to Use/configure a Bluetooth Module : 14 Steps (with Pictures) - Instructables For the hinge pins I have usedLolly-Pop-Sticks. These are about 3.5mm diameter hollow plastic tubes. (not the solid ones) Some glue to glue the wood together. I just used somePVA Gluethe type used for crafts. SomeDupont Cablesto connect things together. Screws M1.7 x 6mm self tapping screws."
Mecanum Drive Robotic Arm Manipulator,https://www.instructables.com/Mecanum-Drive-Robotic-Arm-Manipulator,"In addition to the advancements in mobility and control facilitated by the integration of Internet of Things (IoT) technology and 4-wheel Mecanum drive systems, there has also been notable progress in the development of robotic arms utilizing this innovative drive system. Mecanum drive technology, renowned for its ability to enable omnidirectional movement, presents a promising solution for enhancing the versatility and agility of robotic arms. By incorporating Mecanum wheels into the base of robotic arms, engineers have been able to create manipulators capable of navigating complex environments with remarkable precision and dexterity. The integration of IoT capabilities further enhances the functionality and adaptability of these robotic arms. Through real-time data collection and analysis, IoT-enabled robotic arms equipped with Mecanum drive systems can intelligently respond to changes in their surroundings, optimize task performance, and collaborate seamlessly with other IoT-connected devices and systems. Applications for IoT-enabled Mecanum drive robotic arms span a wide range of industries and tasks. In manufacturing, these arms can efficiently handle materials and components in dynamic production environments, adapting to variations in workflow and demand. In logistics, they can streamline warehouse operations by autonomously sorting and transporting items with speed and accuracy. Additionally, in healthcare settings, these robotic arms can assist with delicate procedures, such as surgical operations or patient care tasks, with enhanced precision and safety. The development of robotic arms leveraging IoT technology and Mecanum drive systems underscores the ongoing evolution of robotics towards more intelligent, adaptable, and collaborative systems. By harnessing the power of these technologies, researchers and engineers are poised to unlock new possibilities for automation across diverse fields, ultimately driving innovation and efficiency in industry and society. Applications Targeted: Warehouse Management and Material Tracking. (Using OpenCV) Basic Pick and Place Tasks. Capture Package Aruco Marker and perform specific tasks such as Inventory Updation/Verification. Autonomous Navigation through warehouse (SLAM) Obstacle Avoidance and Detection. Live Camera Feed for User Visuality. Path Planning. Realtime Robot Data Display on Web/App Dashboard.  ","HARDWARE REQUIREMENTS : Raspberry Pi Microcontroller (4B 8GB RAM) x 1 USB Camera Module (OV2710) x 1 A1 RP-Lidar x 1 12V DC Motor (330RPM 2.2Kgcm) x 4 Mecanum Wheels x 4 Cytron Motor Driver (MDD10A Dual Channel) x 2 12V Power Distribution PCB x 1 5-30V Buck Converter x 1 16-Channel Servo HAT x 1 MPU6050 Accelerometer and Gyroscope x 1 USB Wireless Mouse x 1 12V Li-Po Battery x 1 TF-Luna Distance Sensor x 1 ESP32 Microcontroller x 1 Servo Motor (MG996) x 2 Servo Motor (RDS3225 25Kg) x 3 Base Rotate Component (Lathe) x 1 Ball Bearing (52 x 40 x 7) x 1 Robot Chassis (Aluminium 3mm Laser Cutting) x 1 Robotic Arm (Aluminium 2mm Laser Cutting) x 1 Robotic Arm Gripper (Aluminium 3mm Laser Cutting) x 1 Lidar B-Type USB Data Cable x 1 ESP32 Power and B-Type USB Cable x 1 Camera USB Cable x 1 USB Mouse Receiver x 1 Mouse Holder (3D Printed) x 1 Red-Black Connecting wires (4mm Guage) x 1 Jumper Wires x 20 Alan Bolts (M2, M3, M4, M5) x 50 Nuts (M2, M3, M3, M4, M5) x 50  SOFTWARE REQUIREMENTS : Autodesk Fusion 360 (CAD Designing) Autodesk Eagle (PCB Designing) ROS2 Humble (Robotic Operating System) Gazebo (Robot Simulation) RViz (ROS Visualization Tool) MoveIt (Robotic Arm Simulaton and Trajectory Planning) OpenCV (Aruco Marker Detection) Flask (Website) AJAX (Realtime data upload) VS Code (Python Programming for ROS2) Arduino IDE (ESP32 Programming) Ubuntu 22.04 (Operating System)"
TCPL Autonomous Robot Wrestling,https://www.instructables.com/TCPL-Autonomous-Robot-Wrestling,"Over the past several years the Tompkins County Public Library has offered learning how to code through battling Arduino-powered robots. These robots are inspired by the robotics competition in Japan known as Sumobots. TCPL's wrestling robot program has gone through several iterations. It started with robots remote-controlled through a Bluetooth app, see the last two images. Next, TCPL developed a general-purpose robotics platform that could have various attachments and introduced sensors for autonomous functions, see image 4. Later on, the club added hobby electronics found in combat robots to make non-destructive antweight bots, see image 3. This year TCPL has developed an easy-to-print modular system focused on robot wrestling, see the first two images. In this system, participants upload Scratch code through mBlock to an Arduino Nano that sets a pattern of behavior their robot will follow. The script is pre-written and covers concepts of receiving data from sensors, control flow, and how to use the internal clock for movement timing. In this Instructable, you will learn how to print, build, and code your own 3D Printed Autonomous Wrestling Robot.",Skills Soldering wires together and pins to PCBs. You may be able to find the Arduino Nano and the motor driver pre-soldered. Using Wire strippers. Slicing 3D models. 3D printing. Uploading code to an Arduino. Covered in Step 9. Tools Wire Stripper Plastic Nippers Phillips Head Screwdriver Hot Glue Gun Soldering Iron USB Mini B Cable 3D Printer Parts 15cm M-to-F Dupont Wire 2x TT Motors w/Gearbox 2x rubberbands Electrical Tape Arduino Nano TCRT5000 HC-SR04 Ultrasonic Sensor DRV8833 Motor Driver MIni Breadboard 6x 10mm M3 Screws 4x 35mm M3 Screws w/ Hex Nut 9v Battery Case w/ Switch Rechargeable 9v Battery 3D Model
Build Fully Automated GPT-Arduino Robots With MachinaScript,https://www.instructables.com/Build-Fully-Automated-GPT-Arduino-Robots-With-Mach,"Howdy hackers! I am babycommando, robot maker and author of theMachinaScript For Robots project.   In this project we are building a simple version ofMACHINA1, a two-servos example that simulates the movement of a robot head (looking up and down, left or right) powered by GPT or any other LLM of your choice. MachinaScript enables you to build robots that execute actions, make movements and using skills in style of function calling. In this example we are making a voice-command prompt that will provide the robot a starting point. From this model you can explore a self-prompting robot as well.  Anakin built C3PO when he was 9 years old, how about you?",Two servo motors An arduino uno A computer-like device (laptop or raspberry pi) with a microphone A protoboard The latest version of python3 The latest version of the Arduino IDE The MachinaScript Framework from thegithub repo here(step 3)
Dodge - ESP32 Cam Based Tripod,https://www.instructables.com/Dodge-ESP32-Cam-Based-Tripod,"DODGEis a novel design of a tripod which is powered by anESP32 Cammodule. The third leg (support leg) of the tripod is positioned in the middle which allows support when positioning the legs when moving. It can also rotate 360 degrees owing to the servo based at the bottom of the support leg. The robot has six servos in total and allows for a range of motions given the fact that the ESP32 Cam module has limited GPIO pins available when the camera on the module is in use. DODGE as the name implies moves sideways and also can move vertically up and down. Dodge can be used indoors to monitor around your house and can be controlled with your phone or computer by connecting to its WIFI access point. Once connected you have access to control its motion along with the live camera footage from the camera mounted on its head. It uses two batteries - one to power the servos and the other to power the ESP32 module. The two batteries allow for stable operation of the robot as using the same battery for powering both the servos and the ESP32 module created some glitches in the camera feed but more on that later. As for future plans I hope to use the camera footage from Dodge to stream to a raspberry pi for image recognition, face detection and so on and can also control its movements. The 3D model of Dodge was designed using Fusion360 and 3D printed. Since Dodge is small all the parts can be printed fast without using up much filament.","Emax ES08MDII Digital Servo Motor x 6link Aluminum Rod (Length-200mm, Diameter-4mm) x 1link SS Pins or Aluminum Pins - You can cut the aluminum rod into 10mm length pieces also if you wish (4mm Diameter x 10mm Length) x 4link ESP32 Cam module with MB for type-C USB (CH340) connectivity x 1link 7.4 V 800mAH 15C Lipo Battery (Length-57mm x Width-30mm x Height-15mm) 5V 800mAh Lipo Battery (Length-50mm x Width-31mm x Height-11mm) 2.5M Threaded inserts x 8 2.5M hex screws (Length-15mm) x 4 2.5M hex screws (Length-25mm) x 4 2.5M hex screws (Length-10mm) x 4 3A Adjustable Buck Convertor Module x 1link Barrel Jack x 1link Female Header Pins (8 sockets) x 2 LM4UU Linear Bearing (Inner Diameter-4mm, Outer Diameter-8mm,Length-12mm) x 2link Small Radial Bearings (4mm Inner Diameter, 7mm Outer Diameter) x 4link Electrolytic Capacitor (10V, 1000uF) x 1 Electrolytic Capacitor (10V, 470uF) x 1 Generic Perf Board (50mm x 50mm) x 1 2mm normal screws x 4 28 AWG Wires for extending servo wires(Black, Red, Yellow) x 1 Spiral Wire Wrap (Diameter-4mm) x 1link Slide Switch x 1link Super Glue x 1 Old Mouse Pad or Heat Shrink for creating friction between feet and ground Hand Saw or Dremel x 1 3D Printer x 1 3D printing filament x 1"
Red Robot Ant,https://www.instructables.com/Red-Robot-Ant,"Robot Ant with enhanced gait, RC cam and head sensors. Ants are fascinating animals. Their individual abilities are amazing, but their community is unique and allows them to realise large projects. Maybe one day I'll manage to connect several robot ants via wifi and have them co-operate. As in my previous ant projects, I tried to further develop the locomotion.Blue Anthad only 3 servos (+ 1 for the mouth), very economical, but with a rather modest gait.Green Antalready had 12 servos and moved rather realistically, but I struggled with the power supply. Red Ant is now supposed to be a mixture, fewer servos than green, better gait than blue. Blue Ant had a servo for each pair of legs, Red Ant gets one servo for each leg, whereby the middle legs do not move forwards and backwards, but only up and down to control the ground grip of the front and rear legs.","6 servos MG90 ESP32-S3 (with camera) or another ESP32 or ESP8266 7.4V LiPo battery (500mAh)* 5V buck converter, adjustable for 5V (~1.20 €) 2 micro switches / buttons (optional) power switch PCB 3D printer  helpful: hot glue or superglue servo tester soldering iron some screws  LiPo quick charger for S2 and S3 plugs (~ 16 €)"
CUBOTino Pocket: Optimal Solver Robot for Rubik's Cube 2x2x2,https://www.instructables.com/CUBOTino-Pocket-Optimal-Solver-Robot-for-Rubiks-Cu,"Yet another Rubik's cube solver robot: ""CUBOTino Pocket"". This version works with a 2x2x2 Rubik's cube, also called Pocket, and it delivers the optimal solution (minimum quantity of moves). The robot is very small, rather simple, fully 3D printed, and it works autonomously. It takes around 45 seconds to scan and solve a scrambled cube: Not a fast robot, as the targets are simplicity and cost effectiveness. Main characteristics are The robot is fully autonomous. It works with a 2x2x2 Rubik's cube (side ~50mm). Kociemba solver is used, to getTHEoptimal solution. PiCamera and Raspberry Pi Zero2W (or ZeroW) is used for the computer vision part. All coded in Python. Display to feedback on the robot action and solving progress. Solving time is tipically 45 seconds; 20s are needed for the cube status detection, and 25s to solve the cube. This timing once the robot is optimized, as per posted movies. The robot can be slowed down, for demonstartion purpose (it sounds ridiculus, yet it's true). After physically solving the cube, the robot shows the solving animation on the display. The robot has a Virtual Solver, useful to virtually test random generated cube's status. This has been usefull to verify the robot solver effectiveness, after further reductions of the robot movements. The Virtual Solver is also called by a function testing all the 3'674'160 permutations a 2x2x2 Rubik's cube has; Despite no graphical feedback, testing all the permutations takes a couple of days. The name of this robot isCUBOTino: Apart from the obviousCUbe+roBOT, ""ino"" is the italian suffix standing for small..... a ""small"" touch recalling my origins and the very small robot dimensions.  This robot is part of the CUBOTino series, and it shares most of the concepts and parts. Other CUBOTino versions: 1) The ""Base version"", characterized by lower costs and lower complexity (it uses the PC webcam), is available at:https://www.instructables.com/CUBOTino-a-Small-Simple-3D-Printed-Inexpensive-Rub/. 2) The ""Autonomous version"", fully autonomous (with many replicates around the World), is available at:https://www.instructables.com/CUBOTino-Autonomous-Small-3D-Printed-Rubiks-Cube-R/. 3) The ""Micro version"", fully autonomous yet using a smaller Rubik's cube (30mm), is available at:https://www.instructables.com/CUBOTtino-Micro-the-Worlds-Smallest-Rubiks-Cube-So/.  Tip: At Step2 of these Instructables it is embedded a pdf file ""How_to_build_ ..._yyyymmdd.pdf"", of about 160 pages, containing all the needed details to build, program, tune, troubbleshoot the robot. Credits to: Mr. Kociemba, for his optimal solver, and the python version he has made available to the comunity. Yheneaul for simplifying the installation, Vanblok for designing the PCB, Denis for improving the instructions. All of you who have provided feedback, making possible to improve the project.","The material cost has been about 100 Euro; The more expensive parts are of the project are: Raspberry Pi Zero2WH (likely, the Raspberry Pi Zero2W shortage seems now solved.). microSD card 16Gb Class10. Picamera (V1.3). Flex cable (PiCamera - Raspberry Pi Zero). Two servos ( TD-8325MG, 180deg 25Kg metal, with metal arm “25T” ). Display (1.77"" TFT, SPI). ca 500 grams of filament. 3W led, with integrated driver. Capcitive touch sensor. Step-down Voltage regulator. USB-C breakout board. 2x2x2 Rubik's cube (side ~50mm). Some little electronic components (prototype board, capacitors, connectors, etc), and screws. For the power it is needed 1x3A power supply with USB-C connector (official Raspberry Pi is recommended). In the instructions are listed possible servos alternatives. On the annex Components_list.pdf file the detailed list, included the link to the shops I've used ... and related cost."
Light Following Hardware Robot,https://www.instructables.com/Light-Following-Hardware-Robot,"Make this light-following robot just using hardware design! No coding is required and everything is linked! This robot simply follows a bright light and goes towards it. Let's get crafty! I first made this for a school project and it's been one of my favourite projects in my Design technology class, I hope you like this robot as much as I do. Skills/Special Machinery Needed: Basic understanding of electronics Basic Understanding of hardware design and the use of an IC How to solder Some knowledge of mechanics Access to a 3D printer Good to know: This is a complicated circuit so it would be best to send this circuit to be made into a PCB with an external supplier. I have linked the company I used to make my PCB.",1 IC LM358P 1 8pin IC holder 2 Transistors BD139 2 1kΩ resistors 2 100kΩ resistors 2 10kΩ resistors 2 blue LEDs 2 LDRs 2 diodes 1 100µF Capacitor 1 50k Potentiometer 1 battery pack 2 wheels 2 motors 2 small perf boards 1 switch (optional) a couple of nuts and bolts a couple of jumper cables access to soldering iron and solder access to a 3D printer Autodesk account for Fusion360 some budget for the PCB (I spent approximately 2 USD for 8 PCB boards) some passion and creativity!
Mechanical Linear Actuator,https://www.instructables.com/Mechanical-Linear-Actuator,"I will guide you through creating a linear actuator for your Arduino or robotics project at home. But first, let's start with a brief introduction to what a linear actuator is. A linear actuator is a mechanical device that converts energy (typically electrical, hydraulic, or pneumatic) into linear motion. It's used in a wide variety of applications to move or control a mechanism or system, such as in robotics, industrial machinery, and consumer electronics. The basic principle of a linear actuator is relatively straightforward: it uses some form of energy to produce a straight-line movement, which is different from the rotational motion produced by conventional motors. Here are the main types of linear actuators: Electric Linear Actuators:These are powered by electric motors and are known for their precision and control. They are commonly used in applications where accurate positioning is crucial. Hydraulic Linear Actuators: These use hydraulic fluid pressure to create motion and are often found in heavy-duty applications, such as construction equipment and manufacturing machinery, due to their ability to exert large forces. Pneumatic Linear Actuators: These operate on compressed air and are typically used in applications requiring quick, repetitive movements. Mechanical Linear Actuators: These convert rotary motion into linear motion using mechanical components like screws or gears. Here I am going to makeMechanical linear actuator. enjoy!","Items that we need TT gear motor M6 Threaded rod(length:15cm) M6 Nut Aluminum tube(Inner diameter:8mm , length:15.5cm) 1/2 inches PVC pipe(length:) Super glue Tools that we need Drill Piler Hot glue gun Soldering Iron 3D printer Mini grinder Scissor Digital vernier caliper Soldering iron 3D printed parts You will also need to 3D print a few parts for this project. You can print them by using PLA with 100% infill rate and 0.1/0.2mm layer height. (make sure your 3D printer prints to the very correct dimensions.)"
Warehouse Management Robot,https://www.instructables.com/Warehouse-Management-Robot,"Welcome This is a comprehensive instructables on our Warehouse Management Robot Project, we will be explaining about the neccesary components and what goes into our robot in order to make it functional. We will also demonstrate briefly on the function of this robot Our Group 2501986832 - Arkannabil Pratama 2501974782 - Jonathan Suhalim 2502002500 - Javier Nugraha Saonard ","Esp32 DevKitC 32U + Antenna L298N Motor Driver 2x Servo Motor MG996r 360 degrees MT3608 Step Up Voltage Converter 18650 Battery 3.7V 6x 18650 Battery holder for 3 Batteries with included switch 2x DC Gearbox motor 4x Omni Wheel 4x (In this scenario, we're using mechanum Jumper wires PVC Pipe 1 1/2 inch 80cm Two sturdy light board made from plastic/PLA filament/wood 24cm x 24cm x 1.5cm 10uf capacitor L7805 5v Regulator"
DIY Doly - a Companion Robot Powered by Raspberry Pi,https://www.instructables.com/DIY-Doly-a-Companion-Robot-Powered-by-Raspberry-Pi,"  Hello everyone! You might be familiar with the postponedDolyKickstarter project. After its initial launch, I received a wealth of feedback from our community. It became clear that people have diverse needs and desires when it comes to Doly. Some of you wanted the ability to build it yourselves, while others sought a powerful developer platform for AI projects and advanced robotic features. There were those who were looking for an educational tool for their children or simply a source of entertainment. That's why I've taken the initiative to upgrade Doly to cater to all of these demands. The original design was centered aroundembeddedLinux, but now it's based on the versatileRaspberry Pi CM4, compatible with any CM4 model featuring WiFi. This updated design offers increased flexibility, enabling you to upgrade your hardware when necessary, whether it's more RAM or storage for complex projects. Additionally, you now have access to hardware with6 GPIOpins,2 servos,UART,I2C, andUSBconnectivity. While I initially anticipated the upgrade taking four months, it ultimately extended to six months due to unforeseen delays in securing my CM4 orders. Nevertheless, I utilized this time to develop the DYI Doly project, which I'm thrilled to introduce as a guide for building your very own robot from scratch. On this project page, I'll walk you through the process of constructing yourDYI Doly. It's a do-it-yourself endeavor and doesn't include a comprehensive software package like the upcoming original Doly, as it relies on non-free APIs and SDKs that prevent this. However, I'm actively working on software support for your custom robot, including control for displays, servos, sensors, and more. My aim is to provide you with all the resources and assistance you need, such as drivers, libraries, and comprehensive documentation, to ensure your success. I extend my heartfelt thanks to all robot enthusiasts, makers, and DIY aficionados for your unwavering support and valuable feedback. It's my aspiration that this project serves as an inspiration for you to embark on the creation of something truly extraordinary and unique. Constructing a robot from the ground up may appear daunting, but with the right resources and guidance, it can be a gratifying and enlightening experience. The initial step is to 3D print all STL source files. Following that, you'll need to gather the necessary materials: a Raspberry Pi CM4, various electronic components, servo motors, displays, and a suitable power supply. A comprehensive list of required components can be found in the project documentation. Subsequently, you'll assemble the robot, adhering to the instructions provided in the project details, complete with schematics and all essential information. Once your robot is assembled, you can get into programming it to perform a wide range of functions. Given that the Raspberry Pi CM4 runs on Linux, coding becomes straightforward. You can employ programming languages like C++, Python, or others to control the motors, sensors, camera, and other components. The project documentation features an array of examples and tutorials to facilitate your journey. In conclusion, embarking on the construction of your DYI Doly can be a thrilling and educational venture. You'll delve into electronics, programming, and robotics, and by journey's end, you'll have crafted something distinctive and functional. Don't hesitate to start your DYI Doly project today! My hope is that you'll find the experience as enjoyable and enlightening as I did.  Raspberry Pi CM4 8 megapixel Sony IMX219 camera 2x Touch sensors 6 Axis IMU sensor 2x TOF sensor 4x IR edge sensor 2x microphone 2x speaker 2x servo motor 2x motor with encoder 2x LCD Display 2x RGB led 6x GPIO pins 1x Qwiic / I2C port 1x UART port 1x USB output 2x Servo output 18650 battery  Face recognition Speech recognition Object recognition Autonomous companion robot Development platform for study Block Based programing Surveillance camera Desktop assistant"," Raspberry Pi Compute Module 4×1 Custom Motherboard Custom Eye module Custom Bumper module Arm module Charge module 270 degree servo N20 motor Speaker 2W 23mm x2 Fan 2006 3D printed parts M1.6 x 3mm countersunk head screw ×4 M2 x 5mm countersunk head screw ×2 M2 x 5mm flat head screw ×2 M2.5 x 16mm pah head screw 2 x 5 mm self tapping countersunk head screw ×6 2 x 10 mm self tapping countersunk head screw×2 2 x 20 mm self tapping countersunk head screw×2 1.7 x 4 mm self tapping countersunk head screw×4 1.7 x 4 mm self tapping washer head screw 2 x 6 mm self tapping pan head screw×9 2 x 4 mm self tapping pan head screw×1 2 x 10 mm self tapping pan head screw×2 ID4mm OD8mm 0.5mm washer×4 M2 x 4 x 8mm round spacer×2 M2 x 4 x 8mm hexagon spacer 0.5 pitch 8 pin 110mm FPC×2 0.5 pitch 8 pin 40mm FPC×2 0.5 pitch 40 pin 80mm FPC×1 0.5 pitch 20 pin 60mm FPC×1 0.5 pitch 12 pin 50mm FPC×1 Phosphor Copper Sheet C5191 0.2mm×1 Screen protector 35mm×2 Neodymium Magnet 5mm x 2mm×1 IMX219 Camera×1 18650 Battery×1 Round LCD 240x240×1 Encoder magnet OD 7.65 mm, ID 1.0 mm, 12 CPR×4   3D FDM printer 3D SLA printer Soldering Station Phillips head screwdriver Tweezers"
